Date,Open,High,Low,Close,Adj Close,Volume
1995-03-27,5.40094,5.40094,5.31732,5.3661,0.048112,0.0
1995-03-28,5.3451900000000006,5.35216,5.28247,5.3451900000000006,0.047925,0.0
1995-03-30,5.31035,5.41488,5.25459,5.29641,0.047488,0.0
1995-03-31,5.42185,5.42185,5.26853,5.40791,0.048487,0.0
1995-04-03,5.30337,5.33822,5.24763,5.30337,0.04755,0.0
1995-04-04,5.33125,5.35913,5.31732,5.32428,0.047738,0.0
1995-04-05,5.35913,5.3661,5.31035,5.33822,0.047863,0.0
1995-04-06,5.35913,5.49851,5.33125,5.49851,0.0493,0.0
1995-04-07,5.4776,5.60304,5.47063,5.59607,0.050174,0.0
1995-04-10,5.60304,5.60304,5.54033,5.5751599999999994,0.049987000000000004,0.0
1995-04-11,5.5751599999999994,5.58214,5.50548,5.50548,0.049362,0.0
1995-04-12,5.54033,5.55426,5.50548,5.53335,0.049612,0.0
1995-04-13,5.519419999999999,5.56123,5.519419999999999,5.5263800000000005,0.04955,0.0
1995-04-14,5.519419999999999,5.56123,5.519419999999999,5.5263800000000005,0.04955,0.0
1995-04-18,5.51244,5.519419999999999,5.4915400000000005,5.519419999999999,0.049487,0.0
1995-04-19,5.51244,5.54033,5.50548,5.53335,0.049612,0.0
1995-04-20,5.56123,5.60304,5.54729,5.60304,0.050237000000000004,0.0
1995-04-21,5.59607,5.61001,5.56123,5.59607,0.050174,0.0
1995-04-24,5.56123,5.58911,5.55426,5.5682,0.049925,0.0
1995-04-25,5.59607,5.61698,5.58214,5.59607,0.050174,0.0
1995-04-26,5.58911,5.65182,5.58214,5.63092,0.050487,0.0
1995-04-27,5.62395,5.665769999999999,5.61698,5.63092,0.050487,0.0
1995-04-28,5.65879,5.7006,5.6448599999999995,5.7006,0.051112,0.0
1995-05-01,5.69364,5.77726,5.6866699999999994,5.77726,0.051799,0.0
1995-05-02,5.79817,5.83999,5.77726,5.833019999999999,0.052299,0.0
1995-05-03,5.84695,5.909669999999999,5.84695,5.89574,0.052861,0.0
1995-05-04,5.8190800000000005,5.82604,5.75636,5.77726,0.051799,0.0
1995-05-08,5.7703,5.77726,5.721509999999999,5.73545,0.051424,0.0
1995-05-09,5.73545,5.75636,5.72849,5.73545,0.051424,0.0
1995-05-10,5.74242,5.95149,5.73545,5.909669999999999,0.052986,0.0
1995-05-11,5.88877,6.01421,5.88877,6.01421,0.053923,0.0
1995-05-12,6.02118,6.09784,5.979369999999999,6.00028,0.053799,0.0
1995-05-15,6.00028,6.02118,5.92361,5.93755,0.053236,0.0
1995-05-16,5.979369999999999,5.979369999999999,5.89574,5.93058,0.053174,0.0
1995-05-17,5.94452,5.95846,5.91665,5.95149,0.053361,0.0
1995-05-18,5.95149,5.95149,5.909669999999999,5.93058,0.053174,0.0
1995-05-19,5.89574,5.90271,5.8190800000000005,5.87483,0.052674,0.0
1995-05-22,5.87483,5.95149,5.86089,5.92361,0.053111,0.0
1995-05-24,5.97239,6.02118,5.97239,6.00028,0.053799,0.0
1995-05-26,5.979369999999999,5.9933,5.95149,5.9933,0.053736,0.0
1995-05-29,5.95846,6.00724,5.94452,6.00028,0.053799,0.0
1995-05-30,6.00724,6.02118,5.95846,5.986330000000001,0.053673,0.0
1995-05-31,5.979369999999999,6.00724,5.97239,5.97239,0.053548,0.0
1995-06-01,6.01421,6.056019999999999,6.00724,6.04906,0.054236,0.0
1995-06-02,6.04209,6.04209,5.986330000000001,6.02815,0.054048,0.0
1995-06-06,6.03512,6.09784,6.02815,6.04906,0.054236,0.0
1995-06-07,6.07693,6.0839,6.03512,6.03512,0.054111,0.0
1995-06-08,6.04906,6.063,5.9933,6.04209,0.054173,0.0
1995-06-09,6.03512,6.04209,5.93755,5.95846,0.053424,0.0
1995-06-12,5.94452,5.97239,5.90271,5.909669999999999,0.052986,0.0
1995-06-13,5.91665,5.93058,5.88877,5.92361,0.053111,0.0
1995-06-14,5.93058,5.95846,5.8818,5.95846,0.053424,0.0
1995-06-15,5.93058,5.986330000000001,5.91665,5.979369999999999,0.053611,0.0
1995-06-16,5.979369999999999,5.979369999999999,5.93755,5.93755,0.053236,0.0
1995-06-19,5.93755,5.986330000000001,5.93755,5.97239,0.053548,0.0
1995-06-21,5.986330000000001,5.95846,5.95846,5.986330000000001,0.053673,0.0
1995-06-22,5.979369999999999,6.04906,5.95846,6.04906,0.054236,0.0
1995-06-23,6.04209,6.0839,6.02118,6.0839,0.054548,0.0
1995-06-26,6.06996,6.11177,6.063,6.10481,0.054736,0.0
1995-06-27,6.09784,6.09784,6.04906,6.09784,0.054673,0.0
1995-06-28,6.07693,6.07693,5.986330000000001,6.00724,0.053861,0.0
1995-06-29,6.00724,6.04906,5.979369999999999,6.00028,0.053799,0.0
1995-06-30,5.9933,6.02118,5.94452,5.97239,0.053548,0.0
1995-07-03,5.97239,6.04209,5.93058,6.02815,0.054048,0.0
1995-07-04,6.03512,6.07693,6.02815,6.07693,0.054486,0.0
1995-07-05,6.0839,6.09784,6.03512,6.056019999999999,0.054298,0.0
1995-07-06,6.0839,6.09784,6.03512,6.056019999999999,0.054298,0.0
1995-07-07,6.09087,6.1466199999999995,6.07693,6.1466199999999995,0.055111,0.0
1995-07-10,6.16753,6.22328,6.16056,6.1814599999999995,0.055423,0.0
1995-07-11,6.1814599999999995,6.21631,6.132680000000001,6.13965,0.055048,0.0
1995-07-12,6.1814599999999995,6.1954,6.1466199999999995,6.1954,0.055548,0.0
1995-07-13,6.202369999999999,6.26509,6.202369999999999,6.25812,0.05611,0.0
1995-07-14,6.22328,6.25115,6.18844,6.18844,0.055486,0.0
1995-07-17,6.1954,6.25812,6.18844,6.244190000000001,0.055985,0.0
1995-07-18,6.22328,6.25812,6.202369999999999,6.22328,0.055798,0.0
1995-07-19,6.16753,6.22328,6.15359,6.1744900000000005,0.055361,0.0
1995-07-20,6.10481,6.1744900000000005,6.09784,6.10481,0.054736,0.0
1995-07-21,6.132680000000001,6.16056,6.10481,6.10481,0.054736,0.0
1995-07-24,6.132680000000001,6.1814599999999995,6.132680000000001,6.16753,0.055298,0.0
1995-07-25,6.18844,6.22328,6.16056,6.1954,0.055548,0.0
1995-07-26,6.21631,6.25115,6.1954,6.244190000000001,0.055985,0.0
1995-07-27,6.244190000000001,6.27206,6.21631,6.26509,0.056173,0.0
1995-07-28,6.25115,6.26509,6.23721,6.23721,0.055923,0.0
1995-07-31,6.23025,6.26509,6.22328,6.25812,0.05611,0.0
1995-08-01,6.244190000000001,6.26509,6.23025,6.23025,0.05586,1040058.0
1995-08-02,6.25115,6.3278099999999995,6.23721,6.3208400000000005,0.056673,1692065.0
1995-08-03,6.30691,6.33478,6.2790300000000006,6.31388,0.05661,1270980.0
1995-08-04,6.2929699999999995,6.3278099999999995,6.2929699999999995,6.3208400000000005,0.056673,1349855.0
1995-08-08,6.3208400000000005,6.3278099999999995,6.2929699999999995,6.30691,0.056548,927738.0
1995-08-09,6.30691,6.3278099999999995,6.2929699999999995,6.29994,0.056485,597350.0
1995-08-10,6.29994,6.3208400000000005,6.286,6.2929699999999995,0.056423,801197.0
1995-08-11,6.286,6.30691,6.25115,6.25115,0.056048,1393250.0
1995-08-14,6.25115,6.25812,6.22328,6.244190000000001,0.055985,2129421.0
1995-08-15,6.2790300000000006,6.2929699999999995,6.26509,6.2790300000000006,0.056298,693298.0
1995-08-16,6.26509,6.286,6.244190000000001,6.25115,0.056048,1272642.0
1995-08-17,6.25812,6.27206,6.22328,6.23025,0.05586,1599803.0
1995-08-18,6.25115,6.2929699999999995,6.23721,6.286,0.05636,1557669.0
1995-08-21,6.286,6.34175,6.26509,6.33478,0.056798,1481303.0
1995-08-22,6.33478,6.3905400000000006,6.33478,6.36266,0.057048,2190652.0
1995-08-23,6.3905400000000006,6.40447,6.36266,6.39751,0.05736,2287321.0
1995-08-24,6.36963,6.48112,6.34175,6.48112,0.05811,4224853.0
1995-08-25,6.51598,6.52991,6.4741599999999995,6.52294,0.058485,3618546.0
1995-08-28,6.43235,6.45326,6.3766,6.40447,0.057423,1686796.0
1995-08-29,6.41144,6.41841,6.34175,6.34872,0.056923,803312.0
1995-08-30,6.34175,6.3905400000000006,6.33478,6.36963,0.05711,1600387.0
1995-08-31,6.36266,6.36963,6.31388,6.36963,0.05711,916307.0
1995-09-01,6.36266,6.40447,6.35569,6.40447,0.057423,1331123.0
1995-09-04,6.39751,6.446280000000001,6.36963,6.446280000000001,0.057797,1399756.0
1995-09-05,6.4741599999999995,6.4741599999999995,6.43235,6.446280000000001,0.057797,1115216.0
1995-09-06,6.46719,6.509,6.446280000000001,6.4881,0.058172,1662248.0
1995-09-07,6.46719,6.4741599999999995,6.43235,6.46719,0.057985,414053.0
1995-09-08,6.46719,6.50204,6.46023,6.46023,0.057922,758183.0
1995-09-11,6.43235,6.50204,6.43235,6.4881,0.058172,834622.0
1995-09-12,6.49507,6.49507,6.46023,6.46719,0.057985,823235.0
1995-09-13,6.48112,6.50204,6.46719,6.4881,0.058172,1219144.0
1995-09-14,6.49507,6.509,6.48112,6.509,0.05836,1311627.0
1995-09-15,6.509,6.57172,6.50204,6.54385,0.058672,2848405.0
1995-09-18,6.52991,6.564760000000001,6.51598,6.52991,0.058547,1342080.0
1995-09-19,6.55779,6.60657,6.52991,6.5787,0.058985,2069927.0
1995-09-20,6.592630000000001,6.65535,6.5787,6.62748,0.059422,1192499.0
1995-09-21,6.60657,6.60657,6.564760000000001,6.5856699999999995,0.059047,1252436.0
1995-09-22,6.5856699999999995,6.5856699999999995,6.46719,6.509,0.05836,1820911.0
1995-09-25,6.50204,6.54385,6.4741599999999995,6.4881,0.058172,1184902.0
1995-09-26,6.52294,6.564760000000001,6.49507,6.54385,0.058672,1085357.0
1995-09-27,6.5368900000000005,6.54385,6.4393199999999995,6.4881,0.058172,2198831.0
1995-09-28,6.45326,6.4881,6.41144,6.46023,0.057922,1590711.0
1995-09-29,6.45326,6.48112,6.43235,6.4741599999999995,0.058047,1454955.0
1995-10-02,6.4741599999999995,6.49507,6.446280000000001,6.48112,0.05811,1105696.0
1995-10-03,6.48112,6.509,6.446280000000001,6.46023,0.057922,1686833.0
1995-10-04,6.4741599999999995,6.49507,6.45326,6.46719,0.057985,1473317.0
1995-10-05,6.48112,6.48112,6.4253800000000005,6.43235,0.057672,891423.0
1995-10-06,6.4253800000000005,6.43235,6.34872,6.39751,0.05736,1710782.0
1995-10-09,6.3766,6.41144,6.35569,6.35569,0.056985,1193471.0
1995-10-10,6.3905400000000006,6.3905400000000006,6.33478,6.34175,0.05686,1513178.0
1995-10-11,6.36963,6.41841,6.34175,6.38356,0.057235,1321798.0
1995-10-12,6.41144,6.41841,6.38356,6.41144,0.057485,1355173.0
1995-10-13,6.4393199999999995,6.48112,6.41841,6.46023,0.057922,2094872.0
1995-10-16,6.46023,6.48112,6.4393199999999995,6.45326,0.05786,1395294.0
1995-10-17,6.46719,6.4741599999999995,6.41841,6.41841,0.057548,1586387.0
1995-10-18,6.41841,6.446280000000001,6.38356,6.4253800000000005,0.05761,1354889.0
1995-10-19,6.4253800000000005,6.43235,6.39751,6.41841,0.057548,1758185.0
1995-10-20,6.43235,6.46719,6.40447,6.446280000000001,0.057797,6068481.0
1995-10-23,6.41144,6.41841,6.3278099999999995,6.36963,0.05711,1468564.0
1995-10-24,6.3766,6.446280000000001,6.36266,6.446280000000001,0.057797,3101953.0
1995-10-25,6.4253800000000005,6.45326,6.4253800000000005,6.446280000000001,0.057797,1998778.0
1995-10-27,6.40447,6.41144,6.35569,6.38356,0.057235,2194189.0
1995-10-30,6.41841,6.446280000000001,6.40447,6.4393199999999995,0.057735,1194080.0
1995-10-31,6.4393199999999995,6.5856699999999995,6.43235,6.55779,0.058797,2437207.0
1995-11-01,6.5368900000000005,6.5856699999999995,6.52294,6.5856699999999995,0.059047,1661464.0
1995-11-02,6.55082,6.65535,6.55082,6.63445,0.059485,3436629.0
1995-11-03,6.669289999999999,6.70414,6.65535,6.6902,0.059984,2761813.0
1995-11-06,6.6902,6.69717,6.66233,6.68323,0.059922,1664743.0
1995-11-07,6.69717,6.732010000000001,6.648389999999999,6.71807,0.060234,2764022.0
1995-11-08,6.71807,6.75292,6.70414,6.74596,0.060484,2313463.0
1995-11-09,6.7598899999999995,6.78777,6.732010000000001,6.77383,0.060734,2274942.0
1995-11-10,6.738980000000001,6.78079,6.72505,6.78079,0.060797000000000004,1425906.0
1995-11-13,6.76686,6.822610000000001,6.74596,6.808680000000001,0.061047000000000004,1835112.0
1995-11-14,6.78079,6.85745,6.78079,6.85049,0.061422000000000004,3107816.0
1995-11-15,6.84351,6.98986,6.815639999999999,6.96895,0.062484000000000005,6222211.0
1995-11-16,6.96895,7.024710000000001,6.94108,7.017739999999999,0.062921,2925511.0
1995-11-17,7.0038,7.03167,6.96895,7.03167,0.063046,3275007.0
1995-11-20,7.05956,7.101369999999999,7.03865,7.06652,0.063358,4405288.0
1995-11-21,7.06652,7.12228,6.98986,6.99684,0.062734,4072107.0
1995-11-22,7.03865,7.03865,6.878360000000001,6.961989999999999,0.062421000000000004,4381690.0
